Page,Pageviews,Unique Pageviews,,,,20090102-20150201
/plaques/2885,9635,8147,84.56%,,,
/plaques/2825,8087,6564,81.17%,,,
/plaques/189,3756,3044,81.04%,,,
/plaques/595,2633,2055,78.05%,,,
/plaques/3276,2104,1693,80.47%,,,
/plaques/628,1756,1422,80.98%,,,
/plaques/6498,1600,1378,86.13%,,,
/plaques/1755,1419,1077,75.90%,,,
/plaques/2921,1405,1181,84.06%,,,
/plaques/381,1345,994,73.90%,,,
/plaques/1619,1329,1000,75.24%,,,
/plaques/1114,1304,959,73.54%,,,
/plaques/35,1236,1027,83.09%,,,
/plaques/1842,1140,912,80.00%,,,
/plaques/5406,1096,841,76.73%,,,
/plaques/3278,1036,852,82.24%,,,
/plaques/61,997,841,84.35%,,,
/plaques/3266,945,718,75.98%,,,
/plaques/1141,937,696,74.28%,,,
/plaques/937,926,803,86.72%,,,
